userId,movieId,rating,timestamp
1,110,1.0,1425941529
1,147,4.5,1425942435
1,858,5.0,1425941523
1,1221,5.0,1425941546
1,1246,5.0,1425941556
1,1968,4.0,1425942148
1,2762,4.5,1425941300
1,2918,5.0,1425941593
1,2959,4.0,1425941601
1,4226,4.0,1425942228
1,4878,5.0,1425941434
1,5577,5.0,1425941397
1,33794,4.0,1425942005
1,54503,3.5,1425941313
1,58559,4.0,1425942007
1,59315,5.0,1425941502
1,68358,5.0,1425941464
1,69844,5.0,1425942139
1,73017,5.0,1425942699
1,81834,5.0,1425942133
1,91500,2.5,1425942647
1,91542,5.0,1425942618
1,92439,5.0,1425941424
1,96821,5.0,1425941382
1,98809,0.5,1425942640
1,99114,4.0,1425941667
1,112552,5.0,1425941336
2,5,3.0,867039249
2,25,3.0,867039168
2,32,2.0,867039166
2,58,3.0,867039325
2,64,4.0,867039612
2,79,4.0,867039325
2,141,3.0,867039168
2,260,4.0,867039249
2,339,5.0,867041296
2,377,4.0,867041121
2,605,4.0,867039973
2,628,4.0,867039325
2,648,4.0,867039167
2,762,3.0,867039325
2,780,3.0,867039165
2,786,1.0,867039249
2,788,1.0,867039288
2,1210,4.0,867039325
2,1233,4.0,867039820
2,1356,5.0,867039288
2,1475,3.0,867040824
2,1552,2.0,867040735
3,480,3.0,1048076925
3,500,2.0,1048076945
3,527,4.0,1048076900
3,858,4.0,1048076945
3,1092,3.0,1048076995
3,1097,3.0,1048076961
3,1270,3.0,1048076976
3,1968,3.0,1048077048
3,3101,3.0,1048076830
3,4474,3.0,1048077030
4,223,4.0,1042668576
4,415,4.0,1042667925
4,648,4.0,1042674800
4,1097,5.0,1042667925
4,1197,4.0,1042667956
4,1210,2.0,1042667865
4,1221,5.0,1042667903
4,1422,4.0,1042674861
4,1431,3.0,1042667945
4,1597,3.0,1042674787
4,1617,4.0,1042674412
4,1644,3.0,1042674845
4,1645,4.0,1042674787
4,1732,3.0,1042674761
4,1909,4.0,1042674761
4,1911,4.0,1042668589
4,2023,5.0,1042667945
4,2338,2.0,1042674886
4,2355,4.0,1042668559
4,2396,5.0,1042672546
4,2443,4.0,1042672491
4,2541,3.0,1042668576
4,2581,3.0,1042672363
4,2683,3.0,1042668505
4,2692,4.0,1042672531
4,2694,1.0,1042668544
4,2706,4.0,1042668505
4,2710,2.0,1042668544
4,2712,3.0,1042668621
4,2716,4.0,1042672283
4,2762,5.0,1042672546
4,2763,4.0,1042672556
4,2805,3.0,1042672352
4,2875,4.0,1042674773
4,2881,3.0,1042668589
4,2987,4.0,1042672592
4,3004,1.0,1042668521
4,3005,3.0,1042668544
4,3114,5.0,1042672580
4,3160,4.0,1042672335
4,3203,4.0,1042668576
4,3285,3.0,1042668521
4,3298,3.0,1042668544
4,3408,5.0,1042668604
4,3409,2.0,1042668621
4,3476,4.0,1042674436
4,3578,4.0,1042672283
4,3623,2.0,1042672352
4,3751,4.0,1042668559
4,3752,3.0,1042672335
4,3753,4.0,1042672491
4,3798,4.0,1042672580
4,3908,2.0,1042672580
4,3909,3.0,1042672592
4,3977,3.0,1042668559
4,4014,4.0,1042667845
4,4084,3.0,1042667925
4,4226,3.0,1042674412
4,4238,4.0,1042674819
4,4848,3.0,1042674425
4,4896,4.0,1042667845
4,5679,3.0,1042674579
5,7,3.0,949423844
5,157,2.0,949423787
5,296,4.0,949424343
5,541,5.0,949424321
5,750,5.0,949424271
5,858,5.0,949424168
5,908,5.0,949424374
5,1193,5.0,949424374
5,1198,4.0,949424343
5,1201,5.0,949424321
5,1204,5.0,949424271
5,1225,4.0,949424343
5,1230,5.0,949423787
5,1254,5.0,949424374
5,1263,5.0,949424271
5,1270,5.0,949423844
5,1302,5.0,949423787
5,1945,5.0,949424321
5,2163,2.0,949424522
5,2707,5.0,949424045
5,2877,1.0,949424482
5,3079,5.0,949423938
5,3114,4.0,949423938
5,3156,5.0,949423978
5,3198,4.0,949424188
5,3255,3.0,949423844
6,11,3.0,944894480
6,1198,3.0,944894480
6,2565,4.0,944894144
6,2628,5.0,944928077
7,293,5.0,1486253647
7,318,4.0,1486253595
7,2571,4.0,1486253599
7,2858,4.5,1486254186
7,2959,4.5,1486253602
7,3535,5.0,1486253781
7,3948,1.5,1486253699
7,4022,4.0,1486253683
7,4306,2.5,1486253672
7,4896,4.5,1486253687
7,4993,5.0,1486253608
7,5618,4.0,1486253703
7,5810,2.0,1486253944
7,5816,4.5,1486253705
7,6377,3.5,1486253615
7,6934,2.0,1486253729
7,7153,4.5,1486253605
7,8368,4.0,1486253719
7,8533,4.0,1486253918
7,8961,2.5,1486253617
7,30793,2.5,1486253796
7,33794,4.0,1486253619
7,35836,3.0,1486253758
7,39183,3.0,1486253891
7,40815,2.5,1486253738
7,41566,2.0,1486253798
7,50872,4.0,1486253740
7,51255,2.5,1486253771
7,54001,3.0,1486253787
7,54272,4.0,1486253880
7,54503,3.5,1486253805
7,55247,2.0,1486253865
7,58559,5.0,1486253675
7,60074,1.0,1486253975
7,63082,3.5,1486253733
7,68954,3.0,1486253695
7,69844,3.5,1486253817
7,72378,2.5,1486254028
7,79132,3.0,1486253597
7,80463,3.5,1486253795
7,81834,3.0,1486253817
7,88125,4.5,1486253827
7,88129,4.0,1486253959
7,88744,1.5,1486253974
7,89745,2.5,1486253761
7,91529,4.5,1486253752
7,98809,4.5,1486253884
7,99114,2.0,1486253749
7,106489,4.0,1486253996
7,106920,3.5,1486253941
7,116797,4.5,1486253789
7,122904,1.0,1486253905
